date,open,high,low,close,volume,amount
2020-01-02,9.5373712600,9.5373712600,9.1723492000,9.3127423000,66990073,666706656.0000
2020-01-03,9.3127423000,9.3127423000,8.5733386400,8.6107768000,79293814,747680624.0000
2020-01-06,8.5452600200,8.7698889800,8.4610241600,8.5733386400,35891021,329872508.0000
2020-01-07,8.5546195600,8.5733386400,8.3861478400,8.5359004800,21439380,194165003.0000
2020-01-08,8.4984623200,8.5078218600,8.1708784200,8.5078218600,38671392,343880499.0000
2020-01-09,8.4797432400,8.4984623200,8.3955073800,8.4235860000,19947723,179951757.0000
2020-01-10,8.4235860000,8.4984623200,8.1895975000,8.3019119800,18164020,161660890.0000
2020-01-13,8.3674287600,8.3767883000,8.1521593400,8.3393501400,14608363,128898592.0000
2020-01-14,8.3206310600,8.4048669200,8.3019119800,8.3393501400,12937110,115528371.0000
2020-01-15,8.3674287600,8.3861478400,8.2363952000,8.3580692200,9510733,84363497.0000
2020-01-16,8.3580692200,8.6201363400,8.3580692200,8.3955073800,18245307,165151741.0000
2020-01-17,8.4235860000,8.5639791000,8.3393501400,8.4891027800,24271411,219022878.0000
2020-01-20,9.2659446000,9.3408209200,8.6669340400,9.0132370200,149673345,1442267620.0000
2020-01-21,9.2191469000,9.5186521800,8.8447653000,9.4437758600,121909901,1208515258.0000
2020-01-22,9.4624949400,9.4624949400,8.9196416200,8.9570797800,61801974,602665511.0000
2020-01-23,9.1255515000,9.3033827600,8.4891027800,8.6201363400,56222222,534244134.0000
2020-02-03,8.7979676000,8.7979676000,7.9743280800,8.1615188800,70736100,634341318.0000
2020-02-04,8.3112715200,8.5452600200,8.1989570400,8.3393501400,60863319,544912441.0000
2020-02-05,8.3393501400,9.1723492000,8.1427998000,9.0225965600,96788504,888361166.0000
2020-02-06,8.7979676000,9.4999331000,8.7137317400,9.0974728800,98016378,958759137.0000
2020-02-07,9.3127423000,9.3876186200,8.9102820800,8.9570797800,64551475,627675814.0000
2020-02-10,8.9757988600,9.0506751800,8.4235860000,8.5733386400,56579375,522839981.0000
2020-02-11,8.6856531200,8.6856531200,8.4516646200,8.5920577200,25511748,233605424.0000
2020-02-12,8.5639791000,8.5826981800,8.3487096800,8.4423050800,43404581,391714199.0000
2020-02-13,8.4516646200,8.4797432400,8.1615188800,8.1708784200,40903136,361012366.0000
2020-02-14,8.1147211800,8.3393501400,8.0024067000,8.0772830200,32493987,282952691.0000
2020-02-17,8.0772830200,8.2551142800,8.0772830200,8.2363952000,25353998,222147921.0000
2020-02-18,8.2831929000,8.4235860000,8.1521593400,8.3299906000,31395251,277226200.0000
2020-02-19,8.3487096800,8.4048669200,8.1708784200,8.1802379600,24786397,218639914.0000
2020-02-20,8.2925524400,8.2925524400,8.0772830200,8.1895975000,24985122,218056118.0000
2020-02-21,8.1334402600,8.1989570400,8.0679234800,8.1334402600,31479858,273605687.0000
2020-02-24,8.2176761200,8.7698889800,8.1240807200,8.6575745000,64237715,581203773.0000
2020-02-25,8.4797432400,8.6575745000,8.2176761200,8.4329455400,46492137,419061736.0000
2020-02-26,8.2363952000,8.3112715200,8.0960021000,8.1240807200,37600886,329590065.0000
2020-02-27,8.1708784200,8.3767883000,8.1521593400,8.2457547400,30709307,270896190.0000
2020-02-28,8.1053616400,8.2270356600,7.7871372800,7.8058563600,34817005,297660420.0000
